name,stars,language,owner,url,created_at,age_years,license
protobuf,63910,C++,protocolbuffers,https://github.com/protocolbuffers/protobuf,2014-08-26T15:52:15Z,9.75,Other
awesome-machine-learning,63882,Python,josephmisiti,https://github.com/josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,9.86,Other
Chart.js,63647,JavaScript,chartjs,https://github.com/chartjs/Chart.js,2013-03-17T23:56:36Z,11.19,MIT License
sway,63034,Rust,FuelLabs,https://github.com/FuelLabs/sway,2021-01-19T20:54:33Z,3.34,Apache License 2.0
awesome-react,62528,,enaqx,https://github.com/enaqx/awesome-react,2014-08-06T05:31:44Z,9.8,No License
playwright,62364,TypeScript,microsoft,https://github.com/microsoft/playwright,2019-11-15T18:32:42Z,4.52,Apache License 2.0
33-js-concepts,62255,JavaScript,leonardomso,https://github.com/leonardomso/33-js-concepts,2018-09-04T13:27:04Z,5.72,MIT License
v2rayN,62198,C#,2dust,https://github.com/2dust/v2rayN,2019-07-30T03:47:24Z,4.82,GNU General Public License v3.0
interviews,61963,Java,kdn251,https://github.com/kdn251/interviews,2017-02-14T18:19:25Z,7.27,MIT License
whisper,61775,Python,openai,https://github.com/openai/whisper,2022-09-16T20:02:54Z,1.68,MIT License
the-algorithm,61514,Scala,twitter,https://github.com/twitter/the-algorithm,2023-03-27T14:57:57Z,1.16,GNU Affero General Public License v3.0
resume.github.com,61509,JavaScript,resume,https://github.com/resume/resume.github.com,2011-02-06T13:39:55Z,13.3,No License
ansible,61394,Python,ansible,https://github.com/ansible/ansible,2012-03-06T14:58:02Z,12.22,GNU General Public License v3.0
keras,61073,Python,keras-team,https://github.com/keras-team/keras,2015-03-28T00:35:42Z,9.16,Apache License 2.0
strapi,60893,TypeScript,strapi,https://github.com/strapi/strapi,2015-09-30T15:34:48Z,8.65,Other
grafana,60811,TypeScript,grafana,https://github.com/grafana/grafana,2013-12-11T15:59:56Z,10.45,GNU Affero General Public License v3.0
hoppscotch,60640,TypeScript,hoppscotch,https://github.com/hoppscotch/hoppscotch,2019-08-21T13:15:24Z,4.76,MIT License
redux,60524,TypeScript,reduxjs,https://github.com/reduxjs/redux,2015-05-29T23:53:15Z,8.99,MIT License
fzf,60515,Go,junegunn,https://github.com/junegunn/fzf,2013-10-23T16:04:23Z,10.59,MIT License
HowToCook,60511,Shell,Anduin2017,https://github.com/Anduin2017/HowToCook,2020-02-29T10:43:49Z,4.23,The Unlicense
socket.io,60295,TypeScript,socketio,https://github.com/socketio/socket.io,2010-03-11T18:24:48Z,14.21,MIT License
javascript-questions,60295,,lydiahallie,https://github.com/lydiahallie/javascript-questions,2019-06-12T08:26:27Z,4.95,MIT License
cpython,60082,Python,python,https://github.com/python/cpython,2017-02-10T19:23:51Z,7.28,Other
syncthing,60069,Go,syncthing,https://github.com/syncthing/syncthing,2013-11-26T09:48:21Z,10.5,Mozilla Public License 2.0
atom,60004,JavaScript,atom,https://github.com/atom/atom,2012-01-20T18:18:21Z,12.35,MIT License
nocode,59588,Dockerfile,kelseyhightower,https://github.com/kelseyhightower/nocode,2018-02-06T23:54:00Z,6.29,Apache License 2.0
superset,59556,TypeScript,apache,https://github.com/apache/superset,2015-07-21T18:55:34Z,8.84,Apache License 2.0
markdown-here,59505,JavaScript,adam-p,https://github.com/adam-p/markdown-here,2012-05-13T03:27:22Z,12.04,MIT License
architect-awesome,59320,,xingshaocheng,https://github.com/xingshaocheng/architect-awesome,2018-04-06T13:30:58Z,6.13,No License
ui,59222,TypeScript,shadcn-ui,https://github.com/shadcn-ui/ui,2023-01-04T12:43:27Z,1.38,MIT License
echarts,59184,TypeScript,apache,https://github.com/apache/echarts,2013-04-03T03:18:59Z,11.15,Apache License 2.0
system-design-101,59161,,ByteByteGoHq,https://github.com/ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,0.68,Other
Front-end-Developer-Interview-Questions,59051,Nunjucks,h5bp,https://github.com/h5bp/Front-end-Developer-Interview-Questions,2012-02-09T23:34:10Z,12.29,MIT License
gpt_academic,59011,Python,binary-husky,https://github.com/binary-husky/gpt_academic,2023-03-20T09:05:13Z,1.18,GNU General Public License v3.0
lodash,59011,JavaScript,lodash,https://github.com/lodash/lodash,2012-04-07T04:11:46Z,12.13,Other
jquery,58950,JavaScript,jquery,https://github.com/jquery/jquery,2009-04-03T15:20:14Z,15.15,MIT License
angular.js,58907,JavaScript,angular,https://github.com/angular/angular.js,2010-01-06T00:34:37Z,14.39,MIT License
